ID,Word,POS,Tag
0,nan,NOUN,nan
1,Respected,PROPN,"thirsty_crow,nex_hardware_queries"
1,SirOur,PROPN,"thirsty_crow,nex_hardware_queries"
1,avr,NOUN,"thirsty_crow,nex_hardware_queries"
1,atmega2560,ADJ,"thirsty_crow,nex_hardware_queries"
1,development,NOUN,"thirsty_crow,nex_hardware_queries"
1,board,NOUN,"thirsty_crow,nex_hardware_queries"
1,has,VERB,"thirsty_crow,nex_hardware_queries"
1,stopped,VERB,"thirsty_crow,nex_hardware_queries"
1,working,VERB,"thirsty_crow,nex_hardware_queries"
1,properly,ADV,"thirsty_crow,nex_hardware_queries"
1,.,PUNCT,"thirsty_crow,nex_hardware_queries"
1,The,DET,"thirsty_crow,nex_hardware_queries"
1,port,NOUN,"thirsty_crow,nex_hardware_queries"
1,pins,NOUN,"thirsty_crow,nex_hardware_queries"
1,are,VERB,"thirsty_crow,nex_hardware_queries"
1,getting,VERB,"thirsty_crow,nex_hardware_queries"
1,high,ADJ,"thirsty_crow,nex_hardware_queries"
1,and,CCONJ,"thirsty_crow,nex_hardware_queries"
1,low,ADJ,"thirsty_crow,nex_hardware_queries"
1,on,ADP,"thirsty_crow,nex_hardware_queries"
1,there,ADV,"thirsty_crow,nex_hardware_queries"
1,own,ADJ,"thirsty_crow,nex_hardware_queries"
1,.,PUNCT,"thirsty_crow,nex_hardware_queries"
1,Most,ADV,"thirsty_crow,nex_hardware_queries"
1,probably,ADV,"thirsty_crow,nex_hardware_queries"
1,the,DET,"thirsty_crow,nex_hardware_queries"
1,board,NOUN,"thirsty_crow,nex_hardware_queries"
1,has,VERB,"thirsty_crow,nex_hardware_queries"
1,been,VERB,"thirsty_crow,nex_hardware_queries"
1,short,ADV,"thirsty_crow,nex_hardware_queries"
1,circuited,VERB,"thirsty_crow,nex_hardware_queries"
1,.,PUNCT,"thirsty_crow,nex_hardware_queries"
1,We,PRON,"thirsty_crow,nex_hardware_queries"
1,looked,VERB,"thirsty_crow,nex_hardware_queries"
1,for,ADP,"thirsty_crow,nex_hardware_queries"
1,the,DET,"thirsty_crow,nex_hardware_queries"
1,same,ADJ,"thirsty_crow,nex_hardware_queries"
1,board,NOUN,"thirsty_crow,nex_hardware_queries"
1,in,ADP,"thirsty_crow,nex_hardware_queries"
1,the,DET,"thirsty_crow,nex_hardware_queries"
